kampanya_id;banka_adi;banka_kodu;kaynak_url;cekim_tarihi;sema_surumu;kampanya_turu;kampanya_turu__yontem;kampanya_turu__guven;urun_turu;urun_turu__yontem;urun_turu__guven;hedef_kitle;hedef_kitle__yontem;hedef_kitle__guven;kar_payi_orani;kar_payi_orani__yontem;kar_payi_orani__guven;finansman_tutari_max;finansman_tutari_max__yontem;finansman_tutari_max__guven;vade_ay_max;vade_ay_max__yontem;vade_ay_max__guven;taksit_sayisi;taksit_sayisi__yontem;taksit_sayisi__guven;tahsis_ucreti;tahsis_ucreti__yontem;tahsis_ucreti__guven;masraf_bilgisi;masraf_bilgisi__yontem;masraf_bilgisi__guven;masrafsiz_mi;masrafsiz_mi__yontem;masrafsiz_mi__guven;odul_miktari;odul_miktari__yontem;odul_miktari__guven;indirim_orani;indirim_orani__yontem;indirim_orani__guven;alisveris_puani;alisveris_puani__yontem;alisveris_puani__guven;kampanya_avantaji;kampanya_avantaji__yontem;kampanya_avantaji__guven;kampanya_bitis;kampanya_bitis__yontem;kampanya_bitis__guven;kampanya_kosullari;kampanya_kosullari__yontem;kampanya_kosullari__guven
0203-0b6f7d13e2e0;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/akaryakit-kampanyasi-troy;2026-08-20T00:14:03.703160;1.2.0;alisveris_puani;llm;0.8;;belirtilmemis;0.0;mevcut_musteri;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;50.0;hibrit;0.806;Troy kredi kartı ile akaryakıt harcamalarında her 1.500 TL ve üzeri harcama başına 50 TL Worldpuan kazanma imkanı (toplamda 200 TL'ye varan);llm;0.7;2026-08-31;hibrit;0.961;Kampanyaya Albaraka Mobil üzerinden katılım sağlanmalı, TROY kredi kartı kullanılmalı, harcama tek seferde 1.500 TL ve üzerinde olmalı, 5541-Akaryakıt İstasyonları MCC kodu ile yapılan harcamalar geçerli, kampanya 2.000 kişi ile sınırlıdır, bireysel müşterilere özeldir, kazanılan puanlar 5 iş günü içinde yüklenir, kullanılmayan puanlar 31 Ekim 2026'da geri alınır.;llm;0.7
0203-0e476921940e;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/konut-ve-tasit-finansmani-kampanyasi;2026-08-20T00:15:13.245085;1.2.0;konut_finansmani;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;2.87;hibrit;0.994;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;"Avantajlı oranlarla konut ve taşıt finansmanı fırsatı; ev ve araç alımlarında özel kâr oranı fırsatları.";llm;0.7;;belirtilmemis;0.0;Yeni veya ikinci el araç alımları ve konut alımları için geçerlidir. Detaylı bilgi ve başvuru için ilgili kanallara başvurulmalıdır.;llm;0.7
0203-124a4d418b62;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/limitsiz-imm-sigortasinda-vade-farksiz-3-taksit-2;2026-08-20T00:14:50.989962;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;segment;llm;0.8;0.0;kural;0.8;;belirtilmemis;0.0;3;kural;0.919;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;Vade farksız 3 taksit fırsatı;llm;0.7;2026-12-31;hibrit;0.962;Kampanya 1 Mart 2026 – 31 Aralık 2026 tarihlerinde geçerlidir. Yalnızca bireysel müşteriler faydalanabilir. Albaraka Mobil üzerinden Limitsiz İMM Sigortası alımı yapılmalıdır.;llm;0.7
0203-127e3daa98a0;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/hizli-doviz-islemleri-yaninizda;2026-08-20T00:14:31.892239;1.2.0;yatirim_urunu;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;Altın, gümüş ve döviz işlemlerinde dar makas avantajı;llm;0.7;;belirtilmemis;0.0;Döviz alım-satım işlemlerinde uygulanacak kurlar piyasa koşullarına ve bankanın belirlediği işlem saatlerine göre değişiklik gösterebilir. İşlemler Albaraka Mobil uygulaması üzerinden gerçekleştirilir.;llm;0.7
0203-15db77051556;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/bireysel/finansmanlar/ihtiyac;2026-08-24T13:35:57.208074;1.2.0;ihtiyac_finansmani;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;125000.0;kural;0.609;36;kural;0.918;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;uygun kar oranları ve esnek ödeme planları;llm;0.7;;belirtilmemis;0.0;125.000 TL'ye kadar finansmanlarda 36 aya kadar, 125.000 – 250.000 TL'ye kadar olan finansmanlarda 24 aya kadar, 250.000 TL ve üzerindeki finansmanlar ise 12 aya kadar vade seçenekleri sunulmaktadır. Başvuru için proforma fatura, kimlik ve gelir belgesi (maaş bordrosu veya işyeri onaylı belge) gerekmektedir. Serbest meslek sahipleri ve tüzel kişiler için ek belgeler (vergi levhası, bilanço vb.) istenmektedir.;llm;0.7
0203-1e71bc37a83e;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/emekli-promosyon-kampanyasi;2026-08-20T00:14:44.560993;1.2.0;yeni_musteri;llm;0.8;;belirtilmemis;0.0;segment;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;20000.0;kural;0.827;;belirtilmemis;0.0;;belirtilmemis;0.0;"Emekli maaşını bankaya taşıyanlara 20.000 TL'ye varan promosyon ve 10.000 TL'ye varan ödül; 2 otomatik fatura talimatı verene ek 1.400 TL ödül; referans gösterilen her yeni emekli maaş müşterisi için 1.075 TL ödül. Ayrıca Yapı Kredi, PTT ve Albaraka ATM'lerinden yüksek para çekme/yatırma limitleri, EFT/FAST/Havale işlemlerinde ücretsiz para gönderme ve kredi kartı aidat muafiyeti.";llm;0.7;2026-08-31;hibrit;0.964;Maaş ödemelerinin 3 yıl boyunca bankadan alınması taahhüdü gereklidir. Nakit promosyon ödemesi 36 ay için peşin yapılır. Halihazırda promosyon taahhüdü bulunanlar yararlanamaz. 36 ay içinde maaşın başka kuruma taşınması veya kesilmesi durumunda ödenen tutarın iadesi gerekebilir.;llm;0.7
0203-271c2684d15c;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/taksitliocom-alisveris-finansmani;2026-08-20T00:14:38.349128;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;0.5;kural;0.675;150000.0;hibrit;0.956;6;kural;0.917;;belirtilmemis;0.0;0.5;llm;0.75;;belirtilmemis;0.0;False;kural;0.91;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;Albaraka Türk ve Taksitlio.com iş birliği ile uygun kâr oranları ve esnek vade seçenekleriyle anında sahip olma imkânı, nakit kullanma zorunluluğu olmaksızın alışveriş finansmanı;llm;0.7;;belirtilmemis;0.0;Finansman üst limiti 150.000 TL'dir. Finansman tahsis ücreti, toplam finansman tutarının %0,5'i oranında tahsil edilecektir. Kampanya koşulları ve vade seçenekleri Albaraka Türk tarafından değiştirilebilir veya sonlandırılabilir. Başvuru Taksitlio.com mobil uygulaması üzerinden yapılır.;llm;0.7
0203-29bd90ea9686;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/restoran-harcamalariniza-ozel-10-indirim-firsati-1;2026-08-24T13:39:13.447429;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;segment;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;500.0;kural;0.838;10.0;kural;0.877;;belirtilmemis;0.0;;belirtilmemis;0.0;2026-12-31;hibrit;0.965;Albaraka Özel Bankacılık Kredi Kartı sahipleri, 5811, 5812 ve 5814 MCC kodlu restoranlarda harcama yapmalıdır. Aylık maksimum iade tutarı 500 TL'dir. İadeler her ayın 1-5'i arasında yüklenir. Debit, sanal ve ek kartlar dahil değildir. Yurt içi ve yurt dışı harcamalar geçerlidir. Katılım otomatiktir.;llm;0.7
0203-2a8c276994f9;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/8-taksit-firsatiyla-kasko-zamani-3;2026-08-20T00:14:57.452108;1.2.0;diger;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0
0203-30e8af45b3c0;Albaraka Türk Katılım Bankası A.Ş.;0203;https://www.albaraka.com.tr/tr/kampanyalar/detay/dask-sigortasinda-worldpuan-firsati-2-2;2026-08-20T00:12:46.074752;1.2.0;alisveris_puani;llm;0.8;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;;belirtilmemis;0.0;900.0;kural;0.856;;belirtilmemis;0.0;300.0;kural;0.833;300 TL Worldpuan kazanma fırsatı, peşin fiyatına 3 taksit imkanı;llm;0.7;2026-08-31;hibrit;0.961;Kampanya 1 – 31 Ağustos 2026 tarihlerinde geçerlidir. Albaraka Mobil üzerinden DASK sigortası alımı yapılmalıdır. Bireysel müşteriler yararlanabilir. Her müşteri bir kez katılabilir. World özellikli Albaraka kredi kartı aktif olmalıdır. Master Gold, Business, Sanal ve Ek kartlar dahil değildir. Poliçe iptal edilirse yararlanılamaz.;llm;0.7
